prompt,label
Serait-il possible de me faire un résumé avec précision,Résumé
Peux-tu donner la date du document,Question
Merci de donner les descriptions d'image,Image
Donne-moi indiquer l'auteur,Question
Pourrais-tu me montrer la structure en quelques mots,Structure
Est-ce possible de me dire l'objectif en détail,Question
Est-ce que tu peux expliquer les résultats avec précision,Question
Est-ce que tu peux me faire un résumé s'il te plaît,Résumé
J'aimerais bien donner les chiffres importants,Valeur
Donne-moi partager par mail en quelques mots,Autre
Serait-il possible de présenter l'organisation rapidement,Structure
Est-ce que tu peux indiquer les montants de façon synthétique,Valeur
Pourrais-tu me montrer les images sans oublier les points clés,Image
Serait-il possible de donner les descriptions d'image,Image
Donne-moi fournir les dépenses totales s'il te plaît,Valeur
Peux-tu indiquer les montants,Valeur
Donne-moi afficher les éléments visuels sans oublier les points clés,Image
Je souhaite imprimer le fichier avec précision,Autre
Merci de indiquer les montants de façon synthétique,Valeur
Merci de partager par mail en détail,Autre
Merci de me donner le chiffre d'affaires rapidement,Valeur
Peux-tu donner un aperçu général de façon synthétique,Résumé
Merci de me faire un résumé s'il te plaît,Résumé
Merci de répondre à la question sur le projet en quelques mots,Question
Je voudrais résumer ce document clairement,Résumé
Je voudrais indiquer le plan avec précision,Structure
Je voudrais partager par mail rapidement,Autre
Est-ce possible de montrer le budget en détail,Valeur
Je souhaite convertir ce fichier s'il te plaît,Autre
Merci de synthétiser le contenu s'il te plaît,Résumé
Est-ce que tu peux imprimer le fichier s'il te plaît,Autre
Est-ce possible de récapituler le document en détail,Résumé
Pourrais-tu me dire qui est le responsable,Question
Est-ce possible de convertir ce fichier sans oublier les points clés,Autre
J'aimerais bien ouvrir dans word s'il te plaît,Autre
Serait-il possible de indiquer l'auteur sans oublier les points clés,Question
Merci de donner un aperçu général,Résumé
Pourrais-tu indiquer l'auteur s'il te plaît,Question
Serait-il possible de ouvrir dans word,Autre
Je souhaite afficher les valeurs financières s'il te plaît,Valeur
J'aimerais bien imprimer le fichier de façon synthétique,Autre
Merci de donner la table des matières de façon synthétique,Structure
Je voudrais indiquer le plan rapidement,Structure
Je voudrais donner les descriptions d'image sans oublier les points clés,Image
Pourrais-tu présenter l'organisation clairement,Structure
Serait-il possible de donner la table des matières sans oublier les points clés,Structure
Je voudrais télécharger le document de façon synthétique,Autre
Pourrais-tu donner les chiffres importants de façon synthétique,Valeur
Je souhaite synthétiser le contenu,Résumé
J'aimerais bien récapituler le document en quelques mots,Résumé
Peux-tu donner les descriptions d'image en quelques mots,Image
Pourrais-tu imprimer le fichier brièvement,Autre
Peux-tu lister les graphiques en détail,Image
Merci de expliquer les résultats avec précision,Question
Est-ce que tu peux fournir les dépenses totales en quelques mots,Valeur
Donne-moi donner la table des matières brièvement,Structure
Est-ce possible de me dire l'objectif avec précision,Question
Peux-tu ouvrir dans word sans oublier les points clés,Autre
Je souhaite indiquer le plan,Structure
Donne-moi me donner le chiffre d'affaires rapidement,Valeur
Est-ce possible de afficher les valeurs financières rapidement,Valeur
Je voudrais donner un aperçu général de façon synthétique,Résumé
Je voudrais expliquer les résultats avec précision,Question
Je voudrais expliquer les résultats clairement,Question
Donne-moi lister les graphiques en quelques mots,Image
Est-ce possible de expliquer les résultats en détail,Question
Est-ce que tu peux identifier les visuels sans oublier les points clés,Image
Est-ce que tu peux expliquer les résultats avec précision,Question
Peux-tu expliquer la structure du document clairement,Structure
Merci de me donner le chiffre d'affaires brièvement,Valeur
Je voudrais donner les chiffres importants de façon synthétique,Valeur
Serait-il possible de convertir ce fichier en quelques mots,Autre
Serait-il possible de me montrer les images rapidement,Image
Merci de montrer le budget s'il te plaît,Valeur
Peux-tu donner un aperçu général s'il te plaît,Résumé
Peux-tu donner les descriptions d'image brièvement,Image
Est-ce possible de partager par mail sans oublier les points clés,Autre
Je voudrais répondre à la question sur le projet clairement,Question
Pourrais-tu donner la date du document en détail,Question
Serait-il possible de présenter l'organisation avec précision,Structure
Serait-il possible de montrer le budget avec précision,Valeur
Est-ce que tu peux me dire l'objectif clairement,Question
Donne-moi me donner le chiffre d'affaires brièvement,Valeur
Est-ce que tu peux donner un aperçu général avec précision,Résumé
Pourrais-tu fournir les dépenses totales avec précision,Valeur
Est-ce possible de indiquer les montants avec précision,Valeur
Est-ce que tu peux ouvrir dans word sans oublier les points clés,Autre
Est-ce que tu peux donner la date du document de façon synthétique,Question
Peux-tu donner la date du document avec précision,Question
Merci de montrer le budget de façon synthétique,Valeur
Est-ce possible de me montrer la structure,Structure
Je voudrais me montrer la structure de façon synthétique,Structure
J'aimerais bien donner les descriptions d'image de façon synthétique,Image
Je voudrais répondre à la question sur le projet brièvement,Question
Merci de me donner le chiffre d'affaires,Valeur
Pourrais-tu donner un aperçu général avec précision,Résumé
Est-ce que tu peux me montrer les images clairement,Image
Serait-il possible de donner la table des matières en détail,Structure
Donne-moi donner les chiffres importants s'il te plaît,Valeur
Je voudrais donner la table des matières rapidement,Structure
Merci de donner la table des matières,Structure
Je voudrais présenter l'organisation en détail,Structure
Je voudrais récapituler le document avec précision,Résumé
Est-ce possible de afficher les valeurs financières,Valeur
J'aimerais bien extraire les points clés brièvement,Résumé
Est-ce possible de ouvrir dans word avec précision,Autre
Je souhaite donner la date du document avec précision,Question
Je voudrais me donner le chiffre d'affaires s'il te plaît,Valeur
Peux-tu télécharger le document clairement,Autre
Merci de donner un aperçu général brièvement,Résumé
Serait-il possible de expliquer la structure du document en quelques mots,Structure
Merci de afficher les éléments visuels en détail,Image
Donne-moi synthétiser le contenu brièvement,Résumé
Je voudrais identifier les visuels s'il te plaît,Image
J'aimerais bien ouvrir dans word de façon synthétique,Autre
Est-ce possible de donner la date du document clairement,Question
Est-ce possible de indiquer les montants avec précision,Valeur
Donne-moi fournir les dépenses totales en quelques mots,Valeur
Pourrais-tu donner un aperçu général s'il te plaît,Résumé
Pourrais-tu me montrer les images sans oublier les points clés,Image
J'aimerais bien me montrer les images,Image
Je voudrais me faire un résumé de façon synthétique,Résumé
Pourrais-tu convertir ce fichier sans oublier les points clés,Autre
Je voudrais afficher les valeurs financières de façon synthétique,Valeur
Je souhaite imprimer le fichier sans oublier les points clés,Autre
Est-ce que tu peux traduire le texte de façon synthétique,Autre
Pourrais-tu extraire les figures sans oublier les points clés,Image
Je voudrais synthétiser le contenu rapidement,Résumé
J'aimerais bien récapituler le document,Résumé
Serait-il possible de afficher les éléments visuels avec précision,Image
Serait-il possible de présenter l'organisation rapidement,Structure
Peux-tu afficher les éléments visuels en détail,Image
Peux-tu traduire le texte s'il te plaît,Autre
Est-ce que tu peux donner un aperçu général en détail,Résumé
Est-ce que tu peux traduire le texte brièvement,Autre
Pourrais-tu afficher les valeurs financières de façon synthétique,Valeur
Pourrais-tu traduire le texte clairement,Autre
Merci de imprimer le fichier avec précision,Autre
Je souhaite donner la date du document en quelques mots,Question
Est-ce que tu peux fournir les dépenses totales en quelques mots,Valeur
Je voudrais résumer ce document rapidement,Résumé
Je souhaite résumer ce document s'il te plaît,Résumé
Est-ce possible de résumer ce document rapidement,Résumé
Est-ce possible de résumer ce document s'il te plaît,Résumé
Merci de convertir ce fichier en détail,Autre
Merci de afficher les valeurs financières en quelques mots,Valeur
J'aimerais bien extraire les figures s'il te plaît,Image
Peux-tu convertir ce fichier rapidement,Autre
Serait-il possible de donner la date du document en quelques mots,Question
Merci de imprimer le fichier,Autre
Je voudrais afficher les éléments visuels s'il te plaît,Image
Pourrais-tu me dire qui est le responsable clairement,Question
Serait-il possible de traduire le texte avec précision,Autre
Peux-tu synthétiser le contenu de façon synthétique,Résumé
Est-ce que tu peux fournir les dépenses totales,Valeur
Est-ce possible de fournir les dépenses totales avec précision,Valeur
Serait-il possible de me donner le chiffre d'affaires en détail,Valeur
Merci de lister les graphiques s'il te plaît,Image
Merci de expliquer la structure du document avec précision,Structure
Est-ce que tu peux me dire l'objectif de façon synthétique,Question
J'aimerais bien me montrer la structure clairement,Structure
Je voudrais traduire le texte en détail,Autre
Est-ce possible de imprimer le fichier avec précision,Autre
Donne-moi indiquer les montants en quelques mots,Valeur
Donne-moi extraire les points clés,Résumé
Merci de donner la table des matières clairement,Structure
Serait-il possible de me dire l'objectif avec précision,Question
Je souhaite me dire qui est le responsable,Question
Serait-il possible de montrer le budget avec précision,Valeur
Je voudrais donner les chiffres importants de façon synthétique,Valeur
Pourrais-tu donner la table des matières rapidement,Structure
Peux-tu donner la table des matières sans oublier les points clés,Structure
Je souhaite me dire l'objectif clairement,Question
Je voudrais imprimer le fichier brièvement,Autre
Serait-il possible de télécharger le document,Autre
Pourrais-tu lister les graphiques,Image
Je voudrais expliquer la structure du document,Structure
Serait-il possible de lister les sections sans oublier les points clés,Structure
Je voudrais télécharger le document s'il te plaît,Autre
Je voudrais donner la date du document en détail,Question
J'aimerais bien donner la table des matières brièvement,Structure
Merci de extraire les points clés s'il te plaît,Résumé
Donne-moi afficher les éléments visuels,Image
Je voudrais expliquer la structure du document brièvement,Structure
Serait-il possible de montrer le budget en détail,Valeur
Je souhaite donner la table des matières brièvement,Structure
Peux-tu lister les graphiques rapidement,Image
Est-ce que tu peux identifier les visuels en quelques mots,Image
Est-ce que tu peux traduire le texte sans oublier les points clés,Autre
Est-ce possible de indiquer le plan clairement,Structure
Merci de identifier les visuels avec précision,Image
Est-ce possible de montrer le budget de façon synthétique,Valeur
Peux-tu indiquer les montants sans oublier les points clés,Valeur
Je voudrais résumer ce document de façon synthétique,Résumé
Serait-il possible de me dire qui est le responsable en quelques mots,Question
Je voudrais extraire les figures brièvement,Image
Donne-moi indiquer les montants,Valeur
Est-ce que tu peux expliquer les résultats sans oublier les points clés,Question
Serait-il possible de donner la table des matières de façon synthétique,Structure
Donne-moi me dire qui est le responsable en quelques mots,Question
Peux-tu me montrer la structure,Structure
Je voudrais lister les sections rapidement,Structure
Je voudrais lister les graphiques rapidement,Image
J'aimerais bien donner les chiffres importants sans oublier les points clés,Valeur
Je voudrais me montrer la structure avec précision,Structure
Donne-moi me montrer les images en détail,Image
Est-ce que tu peux synthétiser le contenu s'il te plaît,Résumé
Est-ce possible de donner la date du document s'il te plaît,Question
Je souhaite me montrer les images clairement,Image
Je voudrais récapituler le document sans oublier les points clés,Résumé
Merci de présenter l'organisation brièvement,Structure
Est-ce que tu peux lister les graphiques sans oublier les points clés,Image
Peux-tu répondre à la question sur le projet s'il te plaît,Question
Je souhaite donner la date du document,Question
Est-ce que tu peux fournir les dépenses totales s'il te plaît,Valeur
Merci de indiquer le plan rapidement,Structure
Donne-moi convertir ce fichier en détail,Autre
Est-ce possible de identifier les visuels,Image
Je souhaite imprimer le fichier avec précision,Autre
Pourrais-tu présenter l'organisation avec précision,Structure
Je voudrais lister les graphiques sans oublier les points clés,Image
Peux-tu résumer ce document,Résumé
Donne-moi donner les descriptions d'image sans oublier les points clés,Image
Serait-il possible de synthétiser le contenu en quelques mots,Résumé
Serait-il possible de montrer le budget en détail,Valeur
Merci de donner les chiffres importants en quelques mots,Valeur
Peux-tu lister les graphiques avec précision,Image
Est-ce possible de donner la table des matières brièvement,Structure
Peux-tu me montrer les images en détail,Image
Pourrais-tu présenter l'organisation en quelques mots,Structure
Donne-moi me dire qui est le responsable s'il te plaît,Question
Est-ce possible de traduire le texte sans oublier les points clés,Autre
Est-ce que tu peux extraire les figures s'il te plaît,Image
Donne-moi donner les descriptions d'image,Image
Merci de me dire l'objectif sans oublier les points clés,Question
Donne-moi extraire les figures brièvement,Image
Est-ce que tu peux me dire qui est le responsable,Question
J'aimerais bien extraire les figures en quelques mots,Image
Je souhaite convertir ce fichier clairement,Autre
Peux-tu indiquer l'auteur en quelques mots,Question
Merci de traduire le texte,Autre
Pourrais-tu identifier les visuels rapidement,Image
Donne-moi me donner le chiffre d'affaires s'il te plaît,Valeur
Je voudrais expliquer les résultats,Question
Pourrais-tu donner les descriptions d'image de façon synthétique,Image
Merci de indiquer les montants clairement,Valeur
Je voudrais télécharger le document rapidement,Autre
Merci de me faire un résumé de façon synthétique,Résumé
Je voudrais expliquer la structure du document sans oublier les points clés,Structure
Est-ce que tu peux extraire les figures rapidement,Image
Peux-tu synthétiser le contenu s'il te plaît,Résumé
Donne-moi indiquer les montants brièvement,Valeur
Serait-il possible de me montrer la structure rapidement,Structure
Je souhaite lister les sections clairement,Structure
Est-ce que tu peux récapituler le document de façon synthétique,Résumé
Est-ce que tu peux traduire le texte de façon synthétique,Autre
Est-ce possible de me faire un résumé brièvement,Résumé
Est-ce que tu peux extraire les points clés brièvement,Résumé
Pourrais-tu donner les descriptions d'image sans oublier les points clés,Image
Pourrais-tu me dire qui est le responsable rapidement,Question
Merci de extraire les points clés brièvement,Résumé
J'aimerais bien indiquer le plan de façon synthétique,Structure
Est-ce possible de extraire les points clés rapidement,Résumé
Je voudrais expliquer la structure du document avec précision,Structure
Donne-moi expliquer les résultats en quelques mots,Question
Peux-tu présenter l'organisation,Structure
Peux-tu me donner le chiffre d'affaires brièvement,Valeur
Je souhaite donner les descriptions d'image en quelques mots,Image
Merci de me montrer la structure en détail,Structure
Serait-il possible de fournir les dépenses totales rapidement,Valeur
Est-ce possible de imprimer le fichier sans oublier les points clés,Autre
Donne-moi montrer le budget sans oublier les points clés,Valeur
Je souhaite imprimer le fichier rapidement,Autre
Serait-il possible de afficher les éléments visuels s'il te plaît,Image
Est-ce que tu peux présenter l'organisation en quelques mots,Structure
Pourrais-tu me faire un résumé brièvement,Résumé
Peux-tu donner la date du document rapidement,Question
Est-ce possible de indiquer l'auteur avec précision,Question
Est-ce possible de donner les descriptions d'image rapidement,Image
Pourrais-tu me faire un résumé en quelques mots,Résumé
J'aimerais bien indiquer le plan sans oublier les points clés,Structure
Merci de indiquer le plan,Structure
Je souhaite télécharger le document brièvement,Autre
Je voudrais extraire les figures en quelques mots,Image
Est-ce possible de expliquer la structure du document brièvement,Structure
Peux-tu ouvrir dans word sans oublier les points clés,Autre
Est-ce possible de me montrer les images,Image
Peux-tu donner les chiffres importants sans oublier les points clés,Valeur
Est-ce que tu peux donner la date du document avec précision,Question
J'aimerais bien donner la date du document en quelques mots,Question
Est-ce que tu peux me dire qui est le responsable sans oublier les points clés,Question
Est-ce possible de me montrer les images,Image
Serait-il possible de indiquer les montants rapidement,Valeur
Donne-moi télécharger le document de façon synthétique,Autre
Je voudrais montrer le budget sans oublier les points clés,Valeur
J'aimerais bien me montrer la structure sans oublier les points clés,Structure
J'aimerais bien me dire qui est le responsable rapidement,Question
Est-ce possible de convertir ce fichier rapidement,Autre
Peux-tu me montrer les images s'il te plaît,Image
Est-ce que tu peux traduire le texte s'il te plaît,Autre
Merci de afficher les valeurs financières s'il te plaît,Valeur
Peux-tu afficher les éléments visuels s'il te plaît,Image
Pourrais-tu traduire le texte en détail,Autre
Serait-il possible de répondre à la question sur le projet s'il te plaît,Question
Je souhaite imprimer le fichier rapidement,Autre
Peux-tu lister les sections rapidement,Structure
Je voudrais me montrer la structure sans oublier les points clés,Structure
Je souhaite lister les graphiques brièvement,Image
Peux-tu extraire les figures rapidement,Image
Je souhaite me donner le chiffre d'affaires de façon synthétique,Valeur
Est-ce possible de indiquer l'auteur brièvement,Question
Merci de expliquer les résultats rapidement,Question
Merci de expliquer la structure du document s'il te plaît,Structure
Je souhaite me donner le chiffre d'affaires brièvement,Valeur
Donne-moi extraire les figures avec précision,Image
Merci de montrer le budget avec précision,Valeur
Pourrais-tu lister les sections sans oublier les points clés,Structure
Pourrais-tu lister les sections de façon synthétique,Structure
Pourrais-tu résumer ce document clairement,Résumé
Serait-il possible de donner les descriptions d'image,Image
Je voudrais imprimer le fichier s'il te plaît,Autre
J'aimerais bien répondre à la question sur le projet rapidement,Question
Est-ce possible de afficher les valeurs financières avec précision,Valeur
J'aimerais bien me faire un résumé de façon synthétique,Résumé
Donne-moi fournir les dépenses totales rapidement,Valeur
Merci de lister les graphiques brièvement,Image
Merci de afficher les éléments visuels clairement,Image
Serait-il possible de me dire l'objectif brièvement,Question
Pourrais-tu indiquer les montants avec précision,Valeur
Peux-tu extraire les points clés s'il te plaît,Résumé
Je souhaite lister les sections de façon synthétique,Structure
Donne-moi télécharger le document en quelques mots,Autre
Est-ce que tu peux lister les graphiques,Image
Merci de donner les chiffres importants brièvement,Valeur
Peux-tu me faire un résumé brièvement,Résumé
J'aimerais bien donner la table des matières rapidement,Structure
Je voudrais afficher les valeurs financières rapidement,Valeur
Pourrais-tu synthétiser le contenu en détail,Résumé
Je voudrais identifier les visuels brièvement,Image
Est-ce possible de identifier les visuels s'il te plaît,Image
Peux-tu ouvrir dans word de façon synthétique,Autre
Peux-tu synthétiser le contenu brièvement,Résumé
Je souhaite récapituler le document en détail,Résumé
Je souhaite présenter l'organisation s'il te plaît,Structure
Est-ce que tu peux télécharger le document avec précision,Autre
Peux-tu me dire qui est le responsable,Question
Donne-moi me faire un résumé clairement,Résumé
Serait-il possible de fournir les dépenses totales brièvement,Valeur
Est-ce possible de me montrer la structure sans oublier les points clés,Structure
Est-ce possible de indiquer le plan avec précision,Structure
Serait-il possible de partager par mail brièvement,Autre
Est-ce que tu peux répondre à la question sur le projet en quelques mots,Question
Donne-moi ouvrir dans word sans oublier les points clés,Autre
Peux-tu télécharger le document sans oublier les points clés,Autre
Merci de indiquer les montants de façon synthétique,Valeur
J'aimerais bien me montrer les images,Image
J'aimerais bien traduire le texte clairement,Autre
Je souhaite expliquer les résultats clairement,Question
Pourrais-tu partager par mail brièvement,Autre
Donne-moi partager par mail en quelques mots,Autre
Pourrais-tu expliquer les résultats rapidement,Question
Est-ce possible de lister les graphiques clairement,Image
Merci de lister les graphiques en détail,Image
Serait-il possible de télécharger le document s'il te plaît,Autre
Je voudrais donner les chiffres importants rapidement,Valeur
Pourrais-tu me donner le chiffre d'affaires sans oublier les points clés,Valeur
Pourrais-tu afficher les éléments visuels en quelques mots,Image
Donne-moi imprimer le fichier clairement,Autre
Est-ce que tu peux synthétiser le contenu sans oublier les points clés,Résumé
Est-ce possible de indiquer le plan brièvement,Structure
Pourrais-tu donner la table des matières brièvement,Structure
Je souhaite imprimer le fichier brièvement,Autre
Donne-moi me montrer la structure sans oublier les points clés,Structure
Donne-moi afficher les valeurs financières brièvement,Valeur
Je voudrais partager par mail s'il te plaît,Autre
J'aimerais bien me donner le chiffre d'affaires sans oublier les points clés,Valeur
J'aimerais bien indiquer le plan avec précision,Structure
Est-ce que tu peux ouvrir dans word clairement,Autre
Je voudrais donner un aperçu général rapidement,Résumé
Je voudrais afficher les éléments visuels s'il te plaît,Image
Est-ce possible de présenter l'organisation sans oublier les points clés,Structure
Serait-il possible de donner les descriptions d'image en détail,Image
Serait-il possible de récapituler le document en détail,Résumé
Merci de imprimer le fichier,Autre
Pourrais-tu donner les chiffres importants avec précision,Valeur
Est-ce que tu peux me dire l'objectif brièvement,Question
Est-ce que tu peux me donner le chiffre d'affaires clairement,Valeur
Serait-il possible de expliquer la structure du document sans oublier les points clés,Structure
Peux-tu indiquer les montants sans oublier les points clés,Valeur
Serait-il possible de convertir ce fichier avec précision,Autre
Donne-moi afficher les éléments visuels brièvement,Image
Serait-il possible de traduire le texte clairement,Autre
Serait-il possible de imprimer le fichier brièvement,Autre
Je voudrais traduire le texte en quelques mots,Autre
Peux-tu indiquer les montants clairement,Valeur
Serait-il possible de me montrer la structure en quelques mots,Structure
Pourrais-tu lister les graphiques s'il te plaît,Image
Serait-il possible de me donner le chiffre d'affaires s'il te plaît,Valeur
Est-ce possible de synthétiser le contenu en détail,Résumé
Serait-il possible de indiquer le plan de façon synthétique,Structure
Peux-tu synthétiser le contenu brièvement,Résumé
Je voudrais traduire le texte clairement,Autre
Est-ce possible de afficher les éléments visuels avec précision,Image
J'aimerais bien me dire l'objectif rapidement,Question
Est-ce possible de donner les descriptions d'image clairement,Image
Pourrais-tu identifier les visuels avec précision,Image
Est-ce que tu peux fournir les dépenses totales,Valeur
J'aimerais bien présenter l'organisation de façon synthétique,Structure
J'aimerais bien indiquer les montants clairement,Valeur
Donne-moi me donner le chiffre d'affaires en détail,Valeur
Pourrais-tu me dire qui est le responsable en quelques mots,Question
Pourrais-tu partager par mail sans oublier les points clés,Autre
Pourrais-tu synthétiser le contenu avec précision,Résumé
Est-ce que tu peux donner les descriptions d'image avec précision,Image
Je voudrais indiquer l'auteur avec précision,Question
J'aimerais bien synthétiser le contenu brièvement,Résumé
Merci de extraire les figures clairement,Image
Je souhaite montrer le budget s'il te plaît,Valeur
Peux-tu donner la date du document s'il te plaît,Question
Merci de répondre à la question sur le projet brièvement,Question
Merci de donner la date du document s'il te plaît,Question
Pourrais-tu me faire un résumé en détail,Résumé
Est-ce possible de me montrer la structure clairement,Structure
Serait-il possible de lister les graphiques avec précision,Image
Pourrais-tu indiquer les montants en quelques mots,Valeur
Peux-tu donner les descriptions d'image rapidement,Image
Pourrais-tu me montrer les images en détail,Image
Est-ce possible de lister les sections,Structure
Merci de me dire l'objectif brièvement,Question
Est-ce que tu peux donner les descriptions d'image sans oublier les points clés,Image
Je voudrais lister les sections s'il te plaît,Structure
Peux-tu lister les graphiques avec précision,Image
Pourrais-tu montrer le budget,Valeur
Est-ce que tu peux résumer ce document s'il te plaît,Résumé
J'aimerais bien donner la date du document en quelques mots,Question
Je souhaite résumer ce document brièvement,Résumé
Est-ce que tu peux imprimer le fichier s'il te plaît,Autre
Est-ce possible de synthétiser le contenu sans oublier les points clés,Résumé
J'aimerais bien montrer le budget en quelques mots,Valeur
Merci de indiquer les montants clairement,Valeur
Pourrais-tu donner les chiffres importants,Valeur
Je voudrais me donner le chiffre d'affaires clairement,Valeur
Donne-moi indiquer les montants en quelques mots,Valeur
Peux-tu résumer ce document,Résumé
J'aimerais bien indiquer le plan avec précision,Structure
Merci de extraire les figures en détail,Image
Est-ce possible de donner les chiffres importants,Valeur
Je souhaite me dire l'objectif de façon synthétique,Question
J'aimerais bien donner la table des matières en quelques mots,Structure
Donne-moi ouvrir dans word avec précision,Autre
Merci de extraire les points clés clairement,Résumé
Merci de lister les sections rapidement,Structure
Donne-moi me faire un résumé brièvement,Résumé
Je voudrais expliquer les résultats brièvement,Question
Je souhaite partager par mail en quelques mots,Autre
Je souhaite indiquer l'auteur en quelques mots,Question
J'aimerais bien lister les sections s'il te plaît,Structure
Je voudrais résumer ce document brièvement,Résumé
Est-ce possible de imprimer le fichier en détail,Autre
Est-ce possible de me dire qui est le responsable en quelques mots,Question
Serait-il possible de partager par mail rapidement,Autre
Je souhaite présenter l'organisation clairement,Structure
Peux-tu synthétiser le contenu en quelques mots,Résumé
Pourrais-tu me donner le chiffre d'affaires sans oublier les points clés,Valeur
Est-ce que tu peux indiquer l'auteur en quelques mots,Question
Peux-tu traduire le texte de façon synthétique,Autre
Serait-il possible de donner les chiffres importants clairement,Valeur
Merci de donner les chiffres importants avec précision,Valeur
Donne-moi donner les chiffres importants brièvement,Valeur
Je souhaite présenter l'organisation sans oublier les points clés,Structure
Merci de synthétiser le contenu en quelques mots,Résumé
Donne-moi convertir ce fichier,Autre
Est-ce que tu peux convertir ce fichier clairement,Autre
Peux-tu donner les chiffres importants sans oublier les points clés,Valeur
J'aimerais bien télécharger le document de façon synthétique,Autre
Je souhaite afficher les valeurs financières en détail,Valeur
Est-ce possible de télécharger le document de façon synthétique,Autre
Est-ce possible de donner les descriptions d'image en quelques mots,Image
Je souhaite afficher les valeurs financières s'il te plaît,Valeur
Serait-il possible de convertir ce fichier sans oublier les points clés,Autre
Est-ce possible de fournir les dépenses totales clairement,Valeur
Je voudrais convertir ce fichier brièvement,Autre
Serait-il possible de indiquer les montants,Valeur
Est-ce possible de donner la table des matières s'il te plaît,Structure
Serait-il possible de donner un aperçu général rapidement,Résumé
Est-ce que tu peux donner un aperçu général en détail,Résumé
Est-ce possible de partager par mail brièvement,Autre
Peux-tu donner la date du document de façon synthétique,Question
Est-ce que tu peux lister les graphiques avec précision,Image
Peux-tu me dire l'objectif avec précision,Question
Serait-il possible de indiquer le plan rapidement,Structure
Je souhaite identifier les visuels rapidement,Image
Merci de traduire le texte en quelques mots,Autre
J'aimerais bien me donner le chiffre d'affaires avec précision,Valeur
Je souhaite indiquer le plan,Structure
Pourrais-tu extraire les points clés de façon synthétique,Résumé
Je souhaite donner les descriptions d'image en quelques mots,Image
Je voudrais afficher les éléments visuels en quelques mots,Image
Est-ce possible de me montrer les images de façon synthétique,Image
Je souhaite donner les chiffres importants clairement,Valeur
Pourrais-tu expliquer la structure du document s'il te plaît,Structure
Pourrais-tu ouvrir dans word de façon synthétique,Autre
Donne-moi imprimer le fichier de façon synthétique,Autre
Peux-tu partager par mail en détail,Autre
Merci de identifier les visuels,Image
Peux-tu présenter l'organisation en détail,Structure
Est-ce possible de synthétiser le contenu rapidement,Résumé
Je souhaite donner un aperçu général clairement,Résumé
Je souhaite imprimer le fichier en détail,Autre
Est-ce possible de résumer ce document en détail,Résumé
Est-ce possible de récapituler le document rapidement,Résumé
Je voudrais indiquer le plan en détail,Structure
Je voudrais extraire les points clés sans oublier les points clés,Résumé
Peux-tu synthétiser le contenu de façon synthétique,Résumé
Peux-tu présenter l'organisation sans oublier les points clés,Structure
Donne-moi imprimer le fichier en quelques mots,Autre
Je voudrais expliquer les résultats sans oublier les points clés,Question
Serait-il possible de synthétiser le contenu avec précision,Résumé
Est-ce que tu peux identifier les visuels,Image
Peux-tu synthétiser le contenu rapidement,Résumé
Pourrais-tu me montrer la structure rapidement,Structure
Est-ce possible de donner les descriptions d'image,Image
J'aimerais bien indiquer les montants s'il te plaît,Valeur
Je voudrais me montrer la structure en détail,Structure
Donne-moi donner la date du document s'il te plaît,Question
Je souhaite afficher les éléments visuels de façon synthétique,Image
Je souhaite télécharger le document sans oublier les points clés,Autre
J'aimerais bien me montrer les images avec précision,Image
Peux-tu montrer le budget sans oublier les points clés,Valeur
Serait-il possible de imprimer le fichier en détail,Autre
Je voudrais imprimer le fichier sans oublier les points clés,Autre
Je voudrais fournir les dépenses totales brièvement,Valeur
J'aimerais bien montrer le budget sans oublier les points clés,Valeur
Pourrais-tu me montrer la structure en détail,Structure
J'aimerais bien indiquer les montants s'il te plaît,Valeur
Serait-il possible de expliquer la structure du document avec précision,Structure
Donne-moi convertir ce fichier de façon synthétique,Autre
Peux-tu identifier les visuels s'il te plaît,Image
Merci de convertir ce fichier sans oublier les points clés,Autre
Est-ce possible de extraire les figures,Image
Serait-il possible de résumer ce document avec précision,Résumé
Est-ce possible de convertir ce fichier rapidement,Autre
Merci de montrer le budget rapidement,Valeur
Pourrais-tu afficher les éléments visuels clairement,Image
Peux-tu fournir les dépenses totales clairement,Valeur
Est-ce possible de afficher les valeurs financières avec précision,Valeur
Serait-il possible de identifier les visuels de façon synthétique,Image
Merci de fournir les dépenses totales en quelques mots,Valeur
Je souhaite me montrer la structure de façon synthétique,Structure
Est-ce que tu peux imprimer le fichier de façon synthétique,Autre
Est-ce que tu peux me dire l'objectif en quelques mots,Question
Je voudrais donner la table des matières s'il te plaît,Structure
Je voudrais expliquer la structure du document s'il te plaît,Structure
Serait-il possible de fournir les dépenses totales brièvement,Valeur
J'aimerais bien extraire les figures brièvement,Image
Merci de indiquer le plan sans oublier les points clés,Structure
Je voudrais me faire un résumé s'il te plaît,Résumé
J'aimerais bien me dire qui est le responsable rapidement,Question
Pourrais-tu indiquer les montants s'il te plaît,Valeur
Pourrais-tu donner les descriptions d'image de façon synthétique,Image
Est-ce que tu peux résumer ce document s'il te plaît,Résumé
Merci de me dire l'objectif brièvement,Question
Peux-tu fournir les dépenses totales en détail,Valeur
Pourrais-tu me donner le chiffre d'affaires rapidement,Valeur
Merci de donner la table des matières clairement,Structure
Donne-moi résumer ce document s'il te plaît,Résumé
Peux-tu imprimer le fichier en quelques mots,Autre
Merci de expliquer les résultats clairement,Question
